,type,features,nom,id,essonne,cpts,cpts_code,indicateur_1,indicateur_2,indicateur_3,indicateur_4
16569,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.1015772241090014, 48.554789047173735], [2.1082748474972846, 48.5840674243865], [2.092980255168612, 48.5934784666559], [2.1187451655882814, 48.59195380756235], [2.1424167010920994, 48.59147001956932], [2.146352572302604, 48.58710836281826], [2.147518629854383, 48.583779269644744], [2.1534426190469933, 48.5771376372889], [2.1295504455458483, 48.57008337144424], [2.1015772241090014, 48.554789047173735]]]}, 'properties': {'code': '91568', 'nom': 'Saint-Maurice-Montcouronne'}}",Saint-Maurice-Montcouronne,91568,True,Sud Hurepoix,8,2,4,4,6
17099,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2394828400724016, 48.443926343903186], [2.2098695850584416, 48.471739496995035], [2.1932176681688835, 48.480345189300074], [2.2166425405124763, 48.49930454605557], [2.2227312708043114, 48.50497624220719], [2.224289667320957, 48.49846408076155], [2.2468663997020126, 48.49295063361338], [2.2474001949971942, 48.47743517536409], [2.231325747545272, 48.46816475106759], [2.248310958410982, 48.458242304815364], [2.24852868622901, 48.44964288848043], [2.2394828400724016, 48.443926343903186]]]}, 'properties': {'code': '91038', 'nom': 'Auvers-Saint-Georges'}}",Auvers-Saint-Georges,91038,True,Val d Essonne et des 2 Vallées,9,3,4,7,4
17100,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.20472891733492, 48.685166582862045], [2.2047072212611045, 48.691058156266934], [2.209710986462325, 48.701579495862916], [2.2392538705358174, 48.70156467635399], [2.259350272540408, 48.70648537617329], [2.268193302148987, 48.70387749032038], [2.241772918302237, 48.68529093738236], [2.20472891733492, 48.685166582862045]]]}, 'properties': {'code': '91661', 'nom': 'Villebon-sur-Yvette'}}",Villebon-sur-Yvette,91661,True,Noé Santé,4,6,2,2,4
17612,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2380791014340615, 48.576135402844734], [2.2348956939118882, 48.588969894787596], [2.2429001629479366, 48.60369295932137], [2.257901711932703, 48.5912385361503], [2.241596210061337, 48.57853275596378], [2.2380791014340615, 48.576135402844734]]]}, 'properties': {'code': '91021', 'nom': 'Arpajon'}}",Arpajon,91021,True,Cur Essonne,1,8,1,3,4
17613,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2111183624632913, 48.569617645787375], [2.226369144502723, 48.56675815267651], [2.2235545837637156, 48.55088898889505], [2.23403801009056, 48.54005379846772], [2.2203572472881947, 48.53172445675242], [2.2082303697488355, 48.53378539179508], [2.1926401188913145, 48.54253272111631], [2.1882094873466125, 48.546937620011505], [2.2018841719744384, 48.55648498199178], [2.2111183624632913, 48.569617645787375]]]}, 'properties': {'code': '91085', 'nom': 'Boissy-sous-Saint-Yon'}}",Boissy-sous-Saint-Yon,91085,True,Cur Essonne,1,7,3,7,8
17614,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.198514645416659, 48.575668582994176], [2.1814657643089306, 48.56405576685599], [2.138846663506775, 48.565293199754755], [2.1295504455458483, 48.57008337144424], [2.1534426190469933, 48.5771376372889], [2.1660172624010468, 48.58093272275996], [2.1990977808097467, 48.5800894563794], [2.198514645416659, 48.575668582994176]]]}, 'properties': {'code': '91105', 'nom': 'Breuillet'}}",Breuillet,91105,True,Sud Hurepoix,8,1,4,8,1
17615,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.2939292380426766, 48.712127854683374], [2.3017387566500322, 48.719675369706856], [2.323989646311669, 48.71824742238389], [2.325042593640293, 48.71092273556821], [2.316143464523056, 48.69198304639008], [2.3055471686117195, 48.692920246685055], [2.2938065967968098, 48.70511123471633], [2.2939292380426766, 48.712127854683374]]]}, 'properties': {'code': '91161', 'nom': 'Chilly-Mazarin'}}",Chilly-Mazarin,91161,True,Cur Santé Orge Yvette,2,7,0,2,1
18140,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.482368683850292, 48.58256729233455], [2.490357142177879, 48.60735716018245], [2.499115712195827, 48.60635086957552], [2.5088741085415083, 48.58402894984856], [2.482368683850292, 48.58256729233455]]]}, 'properties': {'code': '91577', 'nom': 'Saintry-sur-Seine'}}",Saintry-sur-Seine,91577,True,Santé Seine Essonne,7,8,6,6,4
18676,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.0665115807039864, 48.68689923957146], [2.0647508154471477, 48.67507542085544], [2.0420719870877853, 48.66386637824301], [2.028902045077204, 48.663741819935744], [2.0376428746959117, 48.68022018090568], [2.05565873854103, 48.68678680606564], [2.0665115807039864, 48.68689923957146]]]}, 'properties': {'code': '91093', 'nom': 'Boullay-les-Troux'}}",Boullay-les-Troux,91093,True,Val d Yvette,12,7,5,5,4
18677,FeatureCollection,"{'type': 'Feature', 'geometry': {'type': 'Polygon', 'coordinates': [[[2.27663957792735, 48.341988310165085], [2.28580676771233, 48.345723861243016], [2.3171821647645356, 48.331567092853696], [2.2954192430595457, 48.308226039086286], [2.2691184876976376, 48.315039685224505], [2.27663957792735, 48.341988310165085]]]}, 'properties': {'code': '91112', 'nom': 'Brouy'}}",Brouy,91112,True,PEPS,5,5,8,2,4
